Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,9,0,0,0,3/25/2020,15.9129,79.74
Bihar,3,0,0,1,3/25/2020,25.0961,85.3131
Chhattisgarh,1,0,0,0,3/25/2020,21.2787,81.8661
Delhi,30,1,6,2,3/25/2020,28.7041,77.1025
Gujarat,32,1,0,1,3/25/2020,22.2587,71.1924
Haryana,14,14,11,0,3/25/2020,29.0588,76.0856
Himachal Pradesh,3,0,0,1,3/25/2020,31.1048,77.1734
Karnataka,41,0,3,1,3/25/2020,15.3173,75.7139
Kerala,101,8,4,0,3/25/2020,10.8505,76.2711
Madhya Pradesh,9,0,0,0,3/25/2020,22.9734,78.6569
Maharashtra,98,3,0,2,3/25/2020,19.7515,75.7139
Manipur,1,0,0,0,3/25/2020,24.6637,93.9063
Mizoram,1,0,0,0,3/25/2020,23.1645,92.9376
Odisha,2,0,0,0,3/25/2020,20.9517,85.0985
Puducherry,1,0,0,0,3/25/2020,11.9416,79.8083
Punjab,29,0,0,1,3/25/2020,31.1471,75.3412
Rajasthan,30,2,3,0,3/25/2020,27.0238,74.2179
Tamil Nadu,16,2,1,0,3/25/2020,11.1271,78.6569
Telengana,25,10,1,0,3/25/2020,18.1124,79.0193
Chandigarh,7,0,0,0,3/25/2020,30.7333,76.7794
Jammu and Kashmir,7,0,1,0,3/25/2020,33.7782,76.5762
Ladakh,13,0,0,0,3/25/2020,34.2996,78.2932
Uttar Pradesh,34,1,11,0,3/25/2020,26.8467,80.9462
Uttarakhand,3,1,0,0,3/25/2020,30.0668,79.0193
West Bengal,9,0,0,1,3/25/2020,22.9868,87.855
