S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
1,Andhra Pradesh,7,0,0,0,2020-03-23,15.9129,79.74
2,Bihar,2,0,0,1,2020-03-23,25.0961,85.3131
3,Chhattisgarh,1,0,0,0,2020-03-23,21.2787,81.8661
4,Delhi,28,1,5,1,2020-03-23,28.7041,77.1025
5,Gujarat,29,0,0,1,2020-03-23,22.2587,71.1924
6,Haryana,12,14,11,0,2020-03-23,29.0588,76.0856
7,Himachal Pradesh,3,0,0,1,2020-03-23,31.1048,77.1734
8,Karnataka,33,0,2,1,2020-03-23,15.3173,75.7139
9,Kerala,60,7,3,0,2020-03-23,10.8505,76.2711
10,Madhya Pradesh,6,0,0,0,2020-03-23,22.9734,78.6569
11,Maharashtra,71,3,0,2,2020-03-23,19.7515,75.7139
12,Odisha,2,0,0,0,2020-03-23,20.9517,85.0985
13,Puducherry,1,0,0,0,2020-03-23,11.9416,79.8083
14,Punjab,21,0,0,1,2020-03-23,31.1471,75.3412
15,Rajasthan,26,2,3,0,2020-03-23,27.0238,74.2179
16,Tamil Nadu,7,2,1,0,2020-03-23,11.1271,78.6569
17,Telengana,22,10,1,0,2020-03-23,18.1124,79.0193
18,Chandigarh,6,0,0,0,2020-03-23,30.7333,76.7794
19,Jammu and Kashmir,4,0,0,0,2020-03-23,33.7782,76.5762
20,Ladakh,13,0,0,0,2020-03-23,34.2996,78.2932
21,Uttar Pradesh,30,1,9,0,2020-03-23,26.8467,80.9462
22,Uttarakhand,3,0,0,0,2020-03-23,30.0668,79.0193
23,West Bengal,7,0,0,1,2020-03-23,22.9868,87.855
