Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,19,1,0,2020-03-29,15.9129,79.74
Andaman and Nicobar Islands,9,0,0,2020-03-29,11.7401,92.6586
Bihar,11,0,1,2020-03-29,25.0961,85.3131
Chandigarh,8,0,0,2020-03-29,30.7333,76.7794
Chhattisgarh,7,0,0,2020-03-29,21.2787,81.8661
Delhi,49,6,2,2020-03-29,28.7041,77.1025
Goa,5,0,0,2020-03-29,15.2993,74.124
Gujarat,58,1,5,2020-03-29,22.2587,71.1924
Haryana,33,17,0,2020-03-29,29.0588,76.0856
Himachal Pradesh,3,0,1,2020-03-29,31.1048,77.1734
Jammu and Kashmir,31,1,2,2020-03-29,33.7782,76.5762
Karnataka,76,5,3,2020-03-29,15.3173,75.7139
Kerala,182,15,1,2020-03-29,10.8505,76.2711
Ladakh,13,3,0,2020-03-29,34.2996,78.2932
Madhya Pradesh,30,0,2,2020-03-29,22.9734,78.6569
Maharashtra,186,25,6,2020-03-29,19.7515,75.7139
Manipur,1,0,0,2020-03-29,24.6637,93.9063
Mizoram,1,0,0,2020-03-29,23.1645,92.9376
Odisha,3,0,0,2020-03-29,20.9517,85.0985
Puducherry,1,0,0,2020-03-29,11.9416,79.8083
Punjab,38,1,1,2020-03-29,31.1471,75.3412
Rajasthan,55,3,0,2020-03-29,27.0238,74.2179
Tamil Nadu,49,4,1,2020-03-29,11.1271,78.6569
Telengana,66,1,1,2020-03-29,18.1124,79.0193
Uttarakhand,7,2,0,2020-03-29,30.0668,79.0193
Uttar Pradesh,65,11,0,2020-03-29,26.8467,80.9462
West Bengal,18,0,1,2020-03-29,22.9868,87.855
