Name of State / UT,Total Confirmed cases *,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,23,1,0,3/31/2020,15.9129,79.74
Andaman and Nicobar Islands,9,0,0,3/31/2020,11.7401,92.6586
Bihar,15,0,1,3/31/2020,25.0961,85.3131
Chandigarh,8,0,0,3/31/2020,30.7333,76.7794
Chhattisgarh,7,0,0,3/31/2020,21.2787,81.8661
Delhi,87,6,2,3/31/2020,28.7041,77.1025
Goa,5,0,0,3/31/2020,15.2993,74.124
Gujarat,69,1,6,3/31/2020,22.2587,71.1924
Haryana,36,18,0,3/31/2020,29.0588,76.0856
Himachal Pradesh,3,0,1,3/31/2020,31.1048,77.1734
Jammu and Kashmir,48,2,2,3/31/2020,33.7782,76.5762
Karnataka,83,5,3,3/31/2020,15.3173,75.7139
Kerala,202,19,1,3/31/2020,10.8505,76.2711
Ladakh,13,3,0,3/31/2020,34.2996,78.2932
Madhya Pradesh,47,0,3,3/31/2020,22.9734,78.6569
Maharashtra,198,25,8,3/31/2020,19.7515,75.7139
Manipur,1,0,0,3/31/2020,24.6637,93.9063
Mizoram,1,0,0,3/31/2020,23.1645,92.9376
Odisha,3,0,0,3/31/2020,20.9517,85.0985
Puducherry,1,0,0,3/31/2020,11.9416,79.8083
Punjab,38,1,1,3/31/2020,31.1471,75.3412
Rajasthan,59,3,0,3/31/2020,27.0238,74.2179
Tamil Nadu,67,4,1,3/31/2020,11.1271,78.6569
Telengana,71,1,1,3/31/2020,18.1124,79.0193
Uttarakhand,7,2,0,3/31/2020,30.0668,79.0193
Uttar Pradesh,82,11,0,3/31/2020,26.8467,80.9462
West Bengal,22,0,2,3/31/2020,22.9868,87.855
,,,,,,
