Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,2,0,0,0,3/28/2020,11.7401,92.6586
Andhra Pradesh,14,0,1,0,3/28/2020,15.9129,79.74
Bihar,9,0,0,1,3/28/2020,25.0961,85.3131
Chandigarh,7,0,0,0,3/28/2020,30.7333,76.7794
Chhattisgarh,6,0,0,0,3/28/2020,21.2787,81.8661
Delhi,38,1,6,1,3/28/2020,28.7041,77.1025
Goa,3,0,0,0,3/28/2020,15.2993,74.124
Gujarat,44,1,0,3,3/28/2020,22.2587,71.1924
Haryana,19,14,11,0,3/28/2020,29.0588,76.0856
Himachal Pradesh,3,0,0,1,3/28/2020,31.1048,77.1734
Jammu and Kashmir,18,0,1,1,3/28/2020,33.7782,76.5762
Karnataka,55,0,3,2,3/28/2020,15.3173,75.7139
Kerala,165,8,11,0,3/28/2020,10.8505,76.2711
Ladakh,13,0,3,0,3/28/2020,34.2996,78.2932
Madhya Pradesh,30,0,0,2,3/28/2020,22.9734,78.6569
Maharashtra,177,3,25,5,3/28/2020,19.7515,75.7139
Manipur,1,0,0,0,3/28/2020,24.6637,93.9063
Mizoram,1,0,0,0,3/28/2020,23.1645,92.9376
Odisha,3,0,0,0,3/28/2020,20.9517,85.0985
Puducherry,1,0,0,0,3/28/2020,11.9416,79.8083
Punjab,38,0,1,1,3/28/2020,31.1471,75.3412
Rajasthan,46,2,3,0,3/28/2020,27.0238,74.2179
Tamil Nadu,32,6,2,1,3/28/2020,11.1271,78.6569
Telengana,38,10,1,0,3/28/2020,18.1124,79.0193
Uttarakhand,4,1,0,0,3/28/2020,30.0668,79.0193
Uttar Pradesh,44,1,11,0,3/28/2020,26.8467,80.9462
West Bengal,15,0,0,1,3/28/2020,22.9868,87.855
,,,,,,,
